A	B
Binding Energy (E)	
eV	Counts / s
545.08	9348.86
544.98	9346.18
544.88	9272.05
544.78	9531.18
544.68	9404.35
544.58	9138.08
544.48	8882.99
544.38	8642.88
544.28	8915.86
544.18	8675.87
544.08	8694.29
543.98	8523.86
543.88	8612.86
543.78	8504.09
543.68	8430.61
543.58	8232.71
543.48	8146.06
543.38	8163.68
543.28	8029.52
543.18	7951.03
543.08	7840.23
542.98	7783.53
542.88	7957.79
542.78	7967.33
542.68	7906.44
542.58	7625.65
542.48	7452.89
542.38	7602.66
542.28	7716.37
542.18	7373.44
542.08	7302.9
541.98	7339.34
541.88	7239.02
541.78	7091.64
541.68	7021.05
541.58	7103.05
541.48	7074.37
541.38	6986.19
541.28	7065.08
541.18	6902.29
541.08	6992.19
540.98	6964.09
540.88	7095.28
540.78	6791
540.68	6947.82
540.58	6924.58
540.48	6694.05
540.38	6727.04
540.28	6527.77
540.18	6429.34
540.08	6398.98
539.98	6423.12
539.88	6364.98
539.78	6072.69
539.68	6039.44
539.58	6128.86
539.48	6007.52
539.38	6077.69
539.28	5979.94
539.18	5904.87
539.08	5860.94
538.98	5894.66
538.88	5988.75
538.78	5818.32
538.68	5858.35
538.58	5985.06
538.48	6199.03
538.38	5924.79
538.28	5907.43
538.18	6010.97
538.08	5790.75
537.98	5841.15
537.88	5927.01
537.78	5913.07
537.68	5752.75
537.58	5631.56
537.48	5670.46
537.38	5797.27
537.28	5755.73
537.18	5943.18
537.08	5754.96
536.98	5544.27
536.88	5478.04
536.78	5244.06
536.68	5266.31
536.58	5220.78
536.48	5231.19
536.38	5186.42
536.28	5226.68
536.18	5110.54
536.08	5116.76
535.98	5141.5
535.88	5068.76
535.78	5138.6
535.68	5011.5
535.58	4806.37
535.48	4943.91
535.38	4854.24
535.28	5205.44
535.18	5034.24
535.08	5102.12
534.98	4967.45
534.88	5022.71
534.78	5234.91
534.68	5101.45
534.58	5303.91
534.48	5273.17
534.38	5282.95
534.28	5580.79
534.18	5513.66
534.08	5410.88
533.98	5720.06
533.88	5686.84
533.78	6166.46
533.68	6434.88
533.58	6986.69
533.48	7622.87
533.38	8240.94
533.28	9572.45
533.18	11143.6
533.08	12990.5
532.98	15102.4
532.88	17592.2
532.78	20575.4
532.68	23800.1
532.58	26763
532.48	30516
532.38	33459.9
532.28	36365.5
532.18	38644.5
532.08	40790.3
531.98	41691.9
531.88	41775.5
531.78	42342.8
531.68	41600.2
531.58	40296
531.48	38638
531.38	37658.2
531.28	36971.1
531.18	37637.3
531.08	38516.9
530.98	40241
530.88	42848.1
530.78	45005.5
530.68	46825.9
530.58	48873.8
530.48	50631.6
530.38	49950
530.28	48362.4
530.18	45461.2
530.08	42059.3
529.98	37838.4
529.88	33031.8
529.78	27545.8
529.68	22956.9
529.58	18895.1
529.48	15225.8
529.38	12474.4
529.28	10515.3
529.18	8966.93
529.08	7871.39
528.98	6983.04
528.88	6532.11
528.78	6191.58
528.68	5940.7
528.58	5771.44
528.48	5672.29
528.38	5388.66
528.28	5270.53
528.18	5094.89
528.08	5071.35
527.98	4911.65
527.88	5052.67
527.78	5065.64
527.68	4941.98
527.58	5043.67
527.48	4908.08
527.38	4750.69
527.28	4842.5
527.18	4844.29
527.08	4902.19
526.98	4904.11
526.88	4661.69
526.78	4580.62
526.68	4702.19
526.58	4714.95
526.48	4769.69
526.38	4735.55
526.28	4677.76
526.18	4675.39
526.08	4710.23
525.98	4799.53
525.88	4941.18
525.78	4745.5
525.68	4780.62
525.58	4745.21
525.48	4704.5
525.38	4697.28
525.28	4742.68
525.18	4582.69
525.08	4578.43
