A	B
Binding Energy (E)	
eV	Counts / s
545.08	10224.8
544.98	10493.3
544.88	10304.9
544.78	10102.2
544.68	10019.9
544.58	10264.5
544.48	9918.42
544.38	9909.54
544.28	9898.43
544.18	9580.3
544.08	9682.85
543.98	9520.36
543.88	9394.13
543.78	9659.26
543.68	9395.24
543.58	9182.07
543.48	9034.61
543.38	8944.65
543.28	9087.96
543.18	9156.51
543.08	9032.16
542.98	8832.84
542.88	8834.38
542.78	8794.79
542.68	8890.18
542.58	8736.49
542.48	8571.38
542.38	8462.51
542.28	8199.16
542.18	8386
542.08	8326.25
541.98	8132.18
541.88	8240.42
541.78	8031.5
541.68	8131.61
541.58	7958.29
541.48	7681.94
541.38	7749.46
541.28	7739.6
541.18	7823.98
541.08	7815.54
540.98	7762.85
540.88	7555.52
540.78	7597.36
540.68	7506.01
540.58	7693.67
540.48	7556.54
540.38	7465.47
540.28	7165.09
540.18	7093.79
540.08	7071.24
539.98	7195.17
539.88	6974.63
539.78	6978.48
539.68	6759.8
539.58	6662.43
539.48	6499.89
539.38	6541.73
539.28	6742.83
539.18	6651.67
539.08	6706.68
538.98	6502.53
538.88	6410.54
538.78	6755.08
538.68	6761.6
538.58	6649.21
538.48	6611.8
538.38	6445.25
538.28	6571.3
538.18	6632.5
538.08	6596.29
537.98	6572.29
537.88	6419.62
537.78	6672.98
537.68	6519.09
537.58	6573.92
537.48	6562.28
537.38	6534.75
537.28	6524.96
537.18	6253.42
537.08	6009.9
536.98	6130.82
536.88	6144.93
536.78	6082.94
536.68	5918.75
536.58	5829.62
536.48	5928.91
536.38	5496.65
536.28	5776.33
536.18	5785.62
536.08	5693.91
535.98	5529.19
535.88	5572.79
535.78	5685.5
535.68	5611.87
535.58	5716.49
535.48	5536.53
535.38	5565.6
535.28	5525.65
535.18	5565.77
535.08	5829.54
534.98	5694.28
534.88	5882.65
534.78	5781.7
534.68	5685.27
534.58	5857.08
534.48	5835.11
534.38	6043.9
534.28	5902.53
534.18	6024.36
534.08	6340.94
533.98	6424.7
533.88	6866.25
533.78	7012.18
533.68	7564.26
533.58	8123.85
533.48	8956.13
533.38	10036.6
533.28	11230.1
533.18	13322.8
533.08	16132.8
532.98	18744.1
532.88	21049.4
532.78	23779.4
532.68	28513.5
532.58	32771.8
532.48	36735.2
532.38	40088.8
532.28	43010.2
532.18	45431.5
532.08	47082.9
531.98	48229
531.88	47952.6
531.78	46833.9
531.68	45886.9
531.58	43522.9
531.48	42437.1
531.38	41631.7
531.28	41046.6
531.18	42071.8
531.08	44055.7
530.98	45953.1
530.88	48958.6
530.78	51772.3
530.68	55135.2
530.58	57630.8
530.48	57572.8
530.38	56601.1
530.28	55028.4
530.18	51607.5
530.08	45770.9
529.98	40120.7
529.88	34577.4
529.78	28702.4
529.68	23980.6
529.58	19121.8
529.48	15289.4
529.38	12504.7
529.28	10276.6
529.18	9063.72
529.08	7982.84
528.98	7317.32
528.88	7038.55
528.78	6543.9
528.68	6386.38
528.58	6050.04
528.48	5759.01
528.38	5766.86
528.28	5650.87
528.18	5754.49
528.08	5840.57
527.98	5712.83
527.88	5656.44
527.78	5585.17
527.68	5450.31
527.58	5792.72
527.48	5760.99
527.38	5484.57
527.28	5358
527.18	5366.41
527.08	5297.74
526.98	5336.39
526.88	5244.32
526.78	5337.02
526.68	5486.59
526.58	5412.75
526.48	5347.3
526.38	5493.98
526.28	5279.46
526.18	5089.82
526.08	5498.76
525.98	5634.83
525.88	5286.53
525.78	5209.29
525.68	5331.55
525.58	5384.14
525.48	5260.58
525.38	5288.41
525.28	5329.32
525.18	5199.65
525.08	5077.57
