A	B
Binding Energy (E)	
eV	Counts / s
298.08	4649.75
297.98	4616.54
297.88	4912.78
297.78	4832.26
297.68	4663.82
297.58	4670.84
297.48	4496.54
297.38	4398.07
297.28	4292.01
297.18	4226.77
297.08	4292.44
296.98	4122.37
296.88	4007.86
296.78	3920.31
296.68	3875.62
296.58	3791.25
296.48	3780.4
296.38	3954.63
296.28	3723
296.18	3814.36
296.08	3719.95
295.98	3572.31
295.88	3643.32
295.78	3626.32
295.68	3377.3
295.58	3263.15
295.48	3388.92
295.38	3304.29
295.28	3104.98
295.18	3153.23
295.08	3116.55
294.98	3082.01
294.88	3225.78
294.78	3064.66
294.68	3004.8
294.58	3118.33
294.48	3091.87
294.38	2810.33
294.28	2664.05
294.18	2612.68
294.08	2653.78
293.98	2501.33
293.88	2572.38
293.78	2566.66
293.68	2512.25
293.58	2576.16
293.48	2298.65
293.38	2195.89
293.28	2196.12
293.18	2221.98
293.08	2200.87
292.98	2116.21
292.88	2051.65
292.78	1959.12
292.68	1901.8
292.58	1804.58
292.48	1834.66
292.38	1723.96
292.28	1672.04
292.18	1586.58
292.08	1655.98
291.98	1545.2
291.88	1479.9
291.78	1543.24
291.68	1448.12
291.58	1340.21
291.48	1320.03
291.38	1338.27
291.28	1210.04
291.18	1140.86
291.08	1193.45
290.98	1207.08
290.88	1226.55
290.78	1171.01
290.68	1125.75
290.58	1073.73
290.48	1039.36
290.38	1014.09
290.28	987.365
290.18	964.106
290.08	983.243
289.98	923.359
289.88	830.352
289.78	836.635
289.68	902.311
289.58	794.948
289.48	824.74
289.38	828.611
289.28	853.531
289.18	926.391
289.08	951.851
288.98	1043.47
288.88	1139.89
288.78	1208.66
288.68	1350.66
288.58	1684.45
288.48	2077.44
288.38	2686.32
288.28	3399.31
288.18	4179.93
288.08	5284.45
287.98	6758.76
287.88	8525.66
287.78	10391
287.68	12397.1
287.58	14363
287.48	16121
287.38	18038.5
287.28	18887.1
287.18	19294.8
287.08	19280.2
286.98	17989
286.88	16232.5
286.78	13894.8
286.68	11365.2
286.58	9366.69
286.48	7875.24
286.38	6543.36
286.28	5831.01
286.18	5262.61
286.08	5443.14
285.98	6190.74
285.88	6640.08
285.78	7913.1
285.68	9754.11
285.58	11297
285.48	13067.3
285.38	14979.3
285.28	16641.9
285.18	18429.4
285.08	19774.4
284.98	20912.4
284.88	22133.4
284.78	22559
284.68	22908.9
284.58	23993
284.48	25179.2
284.38	26769.6
284.28	28225.8
284.18	30391.5
284.08	33415.9
283.98	36009.5
283.88	39053.3
283.78	41693.8
283.68	44015.8
283.58	46375.8
283.48	47725.5
283.38	47679.7
283.28	47873.5
283.18	47145.1
283.08	44834.6
282.98	40926.7
282.88	37830.4
282.78	33593.5
282.68	28907.9
282.58	24235.9
282.48	19670.6
282.38	15569.2
282.28	12271.2
282.18	9403.67
282.08	6971.13
281.98	4976.62
281.88	3826.77
281.78	3053.7
281.68	2341.22
281.58	1863.77
281.48	1567.95
281.38	1276.1
281.28	1100.25
281.18	943.527
281.08	837.395
280.98	757.753
280.88	749.31
280.78	677.511
280.68	689.296
280.58	734.544
280.48	661.785
280.38	586.485
280.28	619.258
280.18	638.495
280.08	679.062
279.98	599.35
279.88	590.826
279.78	594.698
279.68	612.175
279.58	580.062
279.48	552.061
279.38	547.179
279.28	500.71
279.18	554.252
279.08	544.178
