A	B
Binding Energy (E)	
eV	Counts / s
110.08	519.568
109.98	546.679
109.88	573.224
109.78	523.579
109.68	531.202
109.58	556.723
109.48	549.42
109.38	540.656
109.28	531.493
109.18	512.01
109.08	533.483
108.98	530.007
108.88	546.974
108.78	514.941
108.68	529.747
108.58	503.561
108.48	515.166
108.38	510.584
108.28	475.08
108.18	509.714
108.08	524.875
107.98	514.071
107.88	501.321
107.78	532.293
107.68	484.404
107.58	513.495
107.48	531.883
107.38	503.491
107.28	510.639
107.18	519.303
107.08	547.534
106.98	537.185
106.88	534.044
106.78	507.138
106.68	511.3
106.58	537.22
106.48	515.856
106.38	477.991
106.28	500.5
106.18	539.831
106.08	554.737
105.98	533.023
105.88	518.647
105.78	517.807
105.68	509.569
105.58	564.606
105.48	594.748
105.38	514.016
105.28	510.449
105.18	502.696
105.08	477.146
104.98	507.438
104.88	524.625
104.78	512.505
104.68	535.919
104.58	567.442
104.48	546.889
104.38	553.666
104.28	551.025
104.18	554.297
104.08	550.965
103.98	482.503
103.88	507.813
103.78	513.38
103.68	540.961
103.58	529.647
103.48	560.939
103.38	547.409
103.28	499.16
103.18	489.151
103.08	586.305
102.98	575.15
102.88	515.671
102.78	570.048
102.68	553.621
102.58	619.853
102.48	598.795
102.38	597.214
102.28	596.974
102.18	648.399
102.08	675.805
101.98	758.568
101.88	832.423
101.78	819.098
101.68	922.069
101.58	958.648
101.48	1060.98
101.38	1150.07
101.28	1255.26
101.18	1331.94
101.08	1493.52
100.98	1652.28
100.88	1754.57
100.78	1971.01
100.68	2237.42
100.58	2314.94
100.48	2395.96
100.38	2538.53
100.28	2718.79
100.18	2658.76
100.08	2548.23
99.98	2559.68
99.88	2448.85
99.78	2388.7
99.68	2190.88
99.58	2037.8
99.48	1700.5
99.38	1502.54
99.28	1297.72
99.18	1116.57
99.08	937.14
98.98	840.596
98.88	758.523
98.78	698.729
98.68	610.934
98.58	580.792
98.48	578.021
98.38	527.381
98.28	561.209
98.18	557.863
98.08	543.737
97.98	552.751
97.88	564.616
97.78	569.863
97.68	551.17
97.58	504.392
97.48	511.51
97.38	548.77
97.28	482.123
97.18	516.432
97.08	565.221
96.98	565.161
96.88	542.017
96.78	569.663
96.68	536.184
96.58	551.05
96.48	540.576
96.38	538.66
96.28	512.33
96.18	517.232
96.08	519.818
95.98	552.546
95.88	590.961
95.78	578.992
95.68	506.603
95.58	502.451
95.48	520.323
95.38	567.007
95.28	554.992
95.18	553.646
95.08	524.335
