A	B
Binding Energy (E)	
eV	Counts / s
110.08	487.585
109.98	497.959
109.88	504.222
109.78	464.001
109.68	500.355
109.58	493.387
109.48	478.671
109.38	463
109.28	473.299
109.18	482.948
109.08	477.161
108.98	460.079
108.88	439.591
108.78	498.93
108.68	465.546
108.58	468.372
108.48	473.775
108.38	458.924
108.28	487.55
108.18	468.187
108.08	449.085
107.98	461.3
107.88	451.045
107.78	457.058
107.68	473.534
107.58	433.733
107.48	477.346
107.38	438.49
107.28	425.855
107.18	453.586
107.08	465.691
106.98	465.896
106.88	507.113
106.78	454.732
106.68	459.979
106.58	476.481
106.48	433.894
106.38	415.941
106.28	421.329
106.18	500.74
106.08	477.881
105.98	443.452
105.88	456.232
105.78	491.277
105.68	485.569
105.58	506.773
105.48	492.752
105.38	452.856
105.28	522.959
105.18	514.506
105.08	502.491
104.98	473.184
104.88	457.088
104.78	494.798
104.68	488.751
104.58	479.922
104.48	454.837
104.38	458.558
104.28	440.026
104.18	487.96
104.08	491.652
103.98	480.772
103.88	454.322
103.78	455.962
103.68	460.109
103.58	468.903
103.48	460.869
103.38	472.329
103.28	522.609
103.18	465.546
103.08	445.408
102.98	444.753
102.88	457.823
102.78	493.998
102.68	465.251
102.58	455.767
102.48	549.345
102.38	580.662
102.28	538.896
102.18	560.484
102.08	575.22
101.98	600.22
101.88	671.023
101.78	696.223
101.68	714.321
101.58	766.532
101.48	807.563
101.38	921.844
101.28	998.054
101.18	1085.56
101.08	1224.78
100.98	1279.19
100.88	1438.33
100.78	1557.75
100.68	1696.25
100.58	1897.11
100.48	2097.15
100.38	2133.71
100.28	2285.93
100.18	2390.53
100.08	2385.84
99.98	2398.08
99.88	2291.46
99.78	2170.92
99.68	2100.62
99.58	1899.8
99.48	1704.19
99.38	1513.65
99.28	1319.69
99.18	1173.13
99.08	1004.64
98.98	880.242
98.88	759.684
98.78	689.161
98.68	606.298
98.58	525.33
98.48	539.956
98.38	540.201
98.28	534.414
98.18	472.484
98.08	468.988
97.98	465.301
97.88	487.705
97.78	483.158
97.68	467.232
97.58	452.446
97.48	480.207
97.38	489.016
97.28	452.531
97.18	474.535
97.08	479.357
96.98	480.182
96.88	477.756
96.78	475.83
96.68	487.275
96.58	479.032
96.48	444.353
96.38	467.667
96.28	505.637
96.18	486.47
96.08	472.889
95.98	499.685
95.88	475.61
95.78	468.712
95.68	457.428
95.58	480.557
95.48	471.759
95.38	470.873
95.28	480.527
95.18	502.926
95.08	495.378
