time,spark_begins(Coulombs),time,spark_ends(Coulombs)
0.07882480851616253,-1.6830494612488644e-9,0.10019229520965861,-8.040821757756719e-10
0.24246235233026092,-1.42099052317279e-9,0.2561867129689732,-6.612209528755033e-10
0.32175775671816187,-1.564728028041023e-9,0.3381799298974425,-8.546046994677399e-10
0.38173844605997653,-1.4486674023107879e-9,0.3978360703621965,-1.0447520446579253e-9
0.4383478839413214,-1.660342074516422e-9,0.4592934570946384,-1.107445151239777e-9
0.47946011294300905,-1.4334473581721404e-9,0.4975983383097494,-7.332493833571337e-10
0.5402521744774764,-1.3918668051408542e-9,0.559205828897832,-6.453213033882904e-10
0.6006912891081396,-1.3022874204855248e-9,0.6178193560950279,-1.1681617551603273e-9
0.6973460015578347,-1.8647260807477605e-9,0.7181455277164739,-6.216227443853042e-10
0.7577770024665713,-1.296801895365442e-9,0.7795420615344668,-1.0567298455147338e-9
0.8400176879137997,-2.039702064130858e-9,0.8606387121900556,-1.073013111774633e-9
0.8986109308061794,-1.7266805140854203e-9,0.9194469687134883,-8.361287809944173e-10
