Distance	Voltage
um	V
2.4602301781258253	994.7033982314922
2.541124799072103	946.3370871168564
2.6245994295649355	894.25334073516
2.732975633529723	836.5835282921608
3.0615673734085256	704.475792061541
3.6030003935580734	594.6131884690116
4.6012997082792895	467.92299456758803
5.926130529855986	374.6798049089973
7.759830766516946	303.72140053134535
10.851665719419291	266.1406082715414
12.061116421627451	264.4885200629208
15.056973833968035	258.1981290350887
18.016353396105202	259.3954977587709
22.707242236084358	263.08863821064284
30.576908162742154	271.96694529686624
36.59005702728071	282.51902062875376
43.78456945521315	290.6899742533797
53.39690789360553	307.78905153063596
70.23531953739044	335.348544023687
85.65912392257587	361.92447552759495
99.64660025596858	383.22889020839125
118.1313945834468	409.67632506288516
145.4441140461207	446.3835361714426
174.0674268778705	484.07334588645045
219.44728571624594	540.1854755931796
276.6688074305098	611.5027951001116
343.8957526964987	685.6617692432691
431.52521725280707	776.1884859232947
551.8299848844243	891.3358997167092
732.9277846771869	1068.496970749874
973.4447701559303	1274.7663420388612
1210.1076640063975	1485.0425797906726
1540.2857969190222	1746.5774330298486
2045.9075367029825	2144.335618391345
2555.41143898405	2522.0202387793342
3131.999467642219	2938.069315215308
