Distance	Voltage
um	V
0.10852713178294571	32.45514284382716
0.20155038759689914	113.60907862236098
0.31007751937984485	130.73356014354283
0.4031007751937983	208.28028149321898
0.5038759689922478	236.2271053735377
0.6046511627906974	316.4785384722934
0.705426356589147	300.2369855991052
0.8062015503875968	334.49643472992494
0.9069767441860463	364.24686582467257
1.0077519379844957	359.7287598452719
2.0077519379844952	358.736775877336
4.007751937984496	355.85100433424986
6.007751937984494	338.53637507573285
9.999999999999998	413.02605210420836
