Gap	Voltage	Field
bar*mm	kV	kV/mm
0.50464	2.48858	4.9314
1.02025	4.53902	4.44893
1.2269	5.03527	4.10406
1.88092	7.81484	4.1548
2.20958	7.80955	3.5344
2.50861	8.66545	3.45428
2.75174	9.84256	3.57685
2.91579	10.92445	3.74665
3.19699	11.04779	3.45568
3.58939	13.45286	3.74795
4.02784	14.25033	3.53795
4.36635	14.92293	3.41771
4.62666	16.56325	3.57996
5.07396	17.75178	3.49861
5.56208	16.93939	3.04551
6.46263	19.46047	3.01123
7.42374	22.88328	3.08245
8.04834	24.5265	3.0474
10.25596	30.55144	2.9789
