Gap	Voltage	Field
bar*mm	kV	kV/mm
0.00204	0.53315	261.84815
0.00379	0.31192	82.30079
0.00528	0.30383	57.50856
0.00659	0.3041	46.12363
0.008	0.28798	35.98939
0.01148	0.38541	33.57723
0.01838	0.42532	23.13685
0.03382	0.51729	15.29453
0.05272	0.71193	13.50319
0.47152	2.42091	5.13427
1.81204	7.65714	4.22569
6.8705	27.42236	3.99132
7.78437	30.22043	3.88219
22.05102	82.01489	3.71932
26.03381	79.83384	3.06654
