Distance	Voltage
um	V
0.10852713178294571	63.116465489117786
0.20155038759689914	82.04595236985597
0.3023255813953487	130.73425921610658
0.4031007751937983	160.48469031085426
0.5038759689922478	117.18902922123311
0.6046511627906974	187.52062264063005
0.705426356589147	198.3331779838747
0.8062015503875968	154.1357132870392
0.8992248062015498	298.415901570583
1.0077519379844957	244.297898121825
2.0077519379844952	326.27184601761655
3.9999999999999996	338.71743486973946
5.999999999999998	335.83166332665326
9.999999999999998	380.56112224448896
