Distance	Voltage
um	V
0.10987534314230274	23.968042609853512
0.37479079881259203	37.28362183754996
0.48131543263416354	45.272969374167815
0.9028067426044437	55.25965379494011
0.38568060410496763	89.21438082556591
1.3839825623502424	99.86684420772309
0.9142549994502751	109.85352862849538
1.8680902527516832	158.4553928095873
0.45053079074994784	148.46870838881495
0.4131843431126345	220.37283621837554
0.1604152087299937	264.98002663115847
1.9424341158053995	262.9826897470041
1.9392230193730313	247.66977363515315
1.4046452698280838	198.40213049267646
2.3484283951673	199.0679094540613
0.8489161676960215	298.26897470039944
0.903714226378808	309.58721704394145
2.420398839118832	292.2769640479361
2.89263943400935	294.27430093209057
1.90075966862881	314.24766977363515
0.9629798974892374	342.2103861517976
1.908996829042275	353.5286284953396
3.001537486933106	313.5818908122503
3.8407505588878426	315.5792276964048
4.363321600033506	307.58988015978696
4.897480510913365	354.8601864181092
5.947229818520695	360.85219707057263
4.846870838881491	363.5153129161119
5.886428405638265	320.9054593874834
5.4139085849710185	317.5765645805593
4.942086828745595	317.5765645805593
4.470125459631806	316.9107856191745
7.98676469818311	336.88415446071906
5.378377104882437	398.13581890812253
9.888013011921197	403.46205059920106
15.915590047695252	397.4700399467377
13.921918001860343	390.1464713715047
12.817929087123675	375.4993342210387
9.873912110196452	336.21837549933423
8.877983571053361	336.88415446071906
7.9321062523886905	326.23169107856194
6.878168558130444	300.26631158455393
6.879564687014081	306.9241011984021
11.916099634737778	324.90013315579233
10.870678326669724	339.5472703062584
14.914356218794337	372.83621837549936
14.86318809520901	378.8282290279627
19.846460726021917	392.80958721704394
16.85895433436938	396.1384820239681
24.77479568526369	394.80692410119843
29.86096301480071	399.4673768308922
31.805142291710652	420.77230359520644
34.84744674204599	428.76165113182424
36.783807697207564	412.7829560585886
39.82499524443599	415.44607190412785
