dimension(mm)	DeltaC, nC
1.8535930154466085	0.06134453781512583
2.0752182672934856	0.0710084033613444
2.377434519811954	0.0710084033613444
3.478844862323707	0.08865546218487386
3.653458697112155	0.09747899159663853
4.002686366689053	0.1352941176470588
5.265278710543988	0.1781512605042016
6.265950302216252	0.23361344537815115
7.212894560107454	0.28907563025210076
7.60913364674278	0.32941176470588224
8.21356615177972	0.37058823529411755
9.429147078576227	0.42268907563025204
