	Y (Y)\µm	0	400.834	801.668	1202.5	1603.34	2004.17	2405	2805.84	3206.67	3607.51	4008.34	4409.17	4810.01	5210.84	5611.68	6012.51	6413.34	6814.18	7215.01	7615.85	8016.68	8417.51	8818.35	9219.18	9620.02	10020.9	10421.7	10822.5	11223.4	11624.2
X (X)																															
µm		Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s	Counts/s
6798.27		9.76224	12.9385	33.2716	41.0831	56.1808	46.4102	63.5171	107.46	70.8867	39.4491	27.3193	25.7686	11.0544	9.5955	7.503	4.96032	0	2.14252	2.79278	0	1.01707	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
7198.16		14.1223	11.613	21.742	20.4248	55.8057	78.6898	60.124	76.9391	77.9729	82.2412	36.1645	21.4336	20.4082	10.6626	1.19214	0.65026	0	2.39262	0	0.65026	2.31759	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
7598.06		20.0747	24.3181	8.21162	35.6059	51.629	43.0672	61.1161	70.1281	61.4496	53.9466	29.5535	32.3296	10.7793	19.1327	6.5943	2.91783	2.36761	3.08457	0.65026	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
7997.96		10.4875	20.2081	13.1636	22.8925	46.8021	55.022	49.7532	65.1094	61.8247	66.4599	36.8814	32.5547	15.5646	13.6388	4.63519	1.66733	10.6126	0	2.14252	2.31759	0.77531	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
8397.86		8.67013	26.5106	13.9056	23.7345	44.6929	53.9382	80.4155	74.138	78.8065	56.0224	55.9641	37.8318	33.9386	18.374	16.8651	11.4379	3.80152	1.19214	2.55936	2.31759	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
8797.76		9.87895	10.4375	19.3494	27.8862	20.4999	49.6865	66.2765	48.7528	62.1749	82.9582	46.8187	25.8187	23.1092	16.2732	5.76897	5.88569	1.96745	0	2.39262	0	2.14252	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9197.65		11.2878	3.9099	10.2124	27.7361	36.8898	53.8799	61.608	60.1074	65.6929	64.6509	71.3619	38.8822	39.1823	27.9695	5.002	16.8651	3.7515	7.92817	0	0.77531	0.77531	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9597.55		11.663	6.83607	13.5638	11.4046	28.2446	35.9811	36.1228	55.6389	78.6981	60.1907	75.2468	61.9665	36.3896	38.0569	15.4312	8.22829	6.8444	1.01707	3.50974	2.39262	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
9997.45		13.1303	4.92697	7.08617	14.3474	21.1335	54.2717	52.9795	72.1539	111.219	81.0074	90.2945	50.912	45.2598	31.1791	15.5145	2.94284	1.38389	6.01907	4.22669	4.53515	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
10397.3		4.36008	9.55382	8.76184	11.788	27.2276	39.5908	48.6945	57.2646	87.4767	90.8197	76.0221	58.9236	53.8382	43.309	19.7829	5.72729	7.07783	5.88569	5.30212	2.31759	1.66733	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
10797.2		4.63519	7.62805	9.17033	10.946	13.7305	37.8401	50.9037	35.8977	74.6882	63.2586	83.5584	59.4988	49.5115	33.1383	26.2772	13.1136	6.12745	2.39262	0	2.14252	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
11197.1		9.33707	13.447	9.95398	12.8635	28.3113	16.0564	40.9664	50.9871	71.6203	59.0986	78.9066	80.5322	54.7719	43.5341	35.1891	11.9881	14.881	0	7.42797	0	2.14252	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
11597		14.8893	4.52681	4.71022	6.95278	17.4403	13.5221	19.1243	51.9041	62.1248	54.3551	74.9717	70.103	65.6263	64.8426	39.9326	13.5387	16.0064	2.96785	11.9131	0	6.26084	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
11996.9		2.56769	2.79278	9.78725	8.69514	5.95238	12.43	23.276	92.7621	52.3043	74.2547	77.9145	69.2277	78.0479	62.525	47.3606	20.0247	23.3844	12.1882	1.30886	3.04288	0.65026	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
12396.8		5.10204	3.16793	12.0048	12.0465	24.7849	23.3093	24.143	37.4733	77.506	39.2407	71.0534	71.5703	77.2642	58.7735	46.0934	35.756	14.4224	11.3462	2.75944	2.03415	2.39262	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
12796.7		3.61811	4.87695	5.36881	10.6709	8.16993	16.8484	23.1926	23.9096	51.4539	67.2519	80.8407	71.7037	61.3579	50.3285	45.6349	27.7694	15.1561	10.4959	0	3.70148	2.96785	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
13196.6		6.19414	2.68441	8.73683	14.3474	6.48593	15.006	22.1088	27.2609	55.6556	78.9899	53.4214	80.1237	57.1395	58.7985	41.8751	31.8544	23.6094	7.45298	1.71735	1.71735	3.45972	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
13596.5		8.04488	6.98613	6.86108	7.07783	12.2716	20.2331	19.7996	55.864	38.6238	45.1847	74.955	76.9391	62.8418	83.4751	64.3924	30.5956	36.2145	12.7968	10.8627	9.35374	0.65026	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
13996.4		6.30252	9.67053	11.738	3.25964	10.821	14.3557	15.5979	30.8207	43.1172	45.3265	82.6247	65.5262	78.7065	92.2953	44.4511	47.8775	29.3868	29.9536	10.9044	3.70148	3.7515	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
14396.3		8.79518	1.01707	7.97819	19.7496	10.1707	19.5328	6.06076	29.27	26.4773	59.5738	45.2764	65.7346	84.2087	86.1011	71.4369	46.8604	28.4864	20.4415	6.71102	10.0123	2.14252	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
14796.2		4.22669	5.07703	2.08417	9.17867	8.52841	18.0155	20.008	20.1997	40.3411	46.3685	73.3293	66.3015	66.4099	101.349	74.1713	45.8017	43.4591	20.6833	20.9667	8.0949	2.14252	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
15196.1		7.01947	1.14212	3.16793	5.10204	3.5014	9.52047	3.1596	18.6575	28.0612	52.3543	69.978	66.8684	70.3782	100.298	57.3063	62.5584	36.648	20.3832	18.4157	12.4216	1.01707	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
15596		6.01907	4.39342	2.96785	12.9885	10.1707	15.5646	6.17747	10.771	19.7162	36.7897	60.3908	66.3015	72.7458	47.3689	60.2324	44.4261	84.7422	43.1256	22.4673	12.8551	11.5296	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
15995.9		3.1596	2.39262	4.90196	14.5475	9.162	3.20962	16.4733	21.742	31.9461	42.0168	59.2904	81.6327	71.5203	80.4989	73.1543	51.0954	63.2503	41.9251	35.1724	7.66973	7.55302	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
16395.8		3.26797	3.0929	5.71895	11.6547	9.15366	1.19214	12.9719	16.2732	23.6428	31.2542	24.6932	48.0275	77.2976	84.984	78.3063	56.2308	45.093	49.2614	40.0327	7.1612	6.91943	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
16795.7		2.39262	8.10324	3.20962	5.62725	9.77057	8.57843	11.0794	7.93651	24.2264	19.7079	47.0688	53.6631	45.1347	100.432	50.837	60.6743	59.7406	49.4615	21.6003	11.9131	8.03655	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
17195.6		5.844	6.01907	3.04288	11.2045	1.42557	4.52681	5.12705	15.6396	24.0846	20.4665	43.9342	51.3205	52.6044	58.6318	62.2749	90.0027	77.4893	43.0506	15.9731	11.613	13.8222	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
